time,open,high,low,close,EMA,EMA,EMA,EMA
1992-02-17,55.55,56,55.06,55.5,68.00735296156718,68.25333913668375,68.97453353226933,69.06119231428096
1992-02-24,55.3,57.58,55.3,56.7,67.94064291459628,68.17338523262366,68.8301272554191,68.89069310994604
1992-03-02,56.75,57.5,53.9,54.03,67.85857422483465,68.07550713412799,68.6560081112377,68.68571803256748
1992-03-09,53.85,55.05,53.25,54.29,67.7785236394374,67.98010570067382,68.4869962511055,68.48715640453207
1992-03-16,54.4,57.4,54.25,56.63,67.71275063861475,67.9015582563785,68.34750217756307,68.32360941964197
1992-03-23,56.35,58.8,55.95,58.78,67.66005004487661,67.83843328574612,68.23494332841527,68.1919734276469
1992-03-30,58.8,60.6,57.71,60.49,67.61774886467084,67.78757907615618,68.14382634808098,68.0857393114035
1992-04-06,60.3,60.55,57.5,58.35,67.56307188021852,67.72226711023121,68.02860486163297,67.95145325193586
1992-04-13,58.01,59.65,56.3,59.24,67.51396821130866,67.66356629977979,67.92520951031965,67.83129527604709
1992-04-20,59.3,61.1,58.5,61.02,67.47565571448679,67.61759006241107,67.84397175137471,67.73734637568782
1992-04-27,60.75,63.1,60.4,60.89,67.43680228844262,67.57103234571618,67.7621603190056,67.64290021878178
1992-05-04,61.1,62.2,58.81,59.22,67.38832557877629,67.51323973432714,67.6616643152526,67.52672228472962
1992-05-11,58.95,64.15,58.95,61.15,67.35152129807554,67.46920347318994,67.58505649977903,67.43876749459541
1992-05-18,61.35,61.92,56.59,56.67,67.28850347330813,67.39446850105713,67.45664407036986,67.29023277053203
1992-05-25,58,59,56.61,58.04,67.23394003098772,67.32973169482145,67.34586002248315,67.16264335300745
1992-06-01,58.4,59.5,58,58.57,67.18282534053942,67.26911071423444,67.24261461045394,67.04412413434528
1992-06-08,59.3,63,59.3,62.72,67.15649598749789,67.23762897918783,67.18940737974272,66.98448104283707
1992-06-15,61.75,64.55,61.75,64.15,67.13875854804363,67.21626130459137,67.1536496458634,66.94538475259105
1992-06-22,64.3,64.4,62.8,63.37,67.11652398433836,67.18964357930008,67.10913612061795,66.89606910083117
1992-06-29,63.15,63.65,62.05,62.5,67.08928785463725,67.15718929847448,67.05491098978715,66.83543366495763
1992-07-06,62.01,63.65,60.79,63.3,67.06693217407891,67.13049594692794,67.01073556637789,66.78666906268235
1992-07-13,62.9,63.3,62.12,62.72,67.04128655653273,67.0999734836274,66.9602563244205,66.73057707561087
1992-07-20,62.5,62.7,61.4,61.6,67.00918457094846,67.06191138339467,66.89719448530967,66.65981049525762
1992-07-27,61.25,61.4,60.07,60.33,66.9697793522408,67.01532376136426,66.81993337371779,66.57250276428854
1992-08-03,60.35,61.45,59.6,60.23,66.93001664219808,66.96836650350015,66.7424047457917,66.48501996753974
1992-08-10,60.15,60.3,56.42,57.28,66.8730843906217,66.90131898444479,66.63108233701769,66.35805417488402
1992-08-17,57.35,58,55.95,56.25,66.81041132637024,66.82760743437942,66.50895195658218,66.21863273798907
1992-08-24,58.15,59,55.05,55.13,66.74150034509373,66.74665513379547,66.37508193356356,66.06568607953405
1992-08-31,55.02,55.87,54.4,54.98,66.6721109625268,66.66522499446124,66.24102214610987,65.91278006464393
1992-09-07,54.95,55.1,53.5,54.73,66.60165603059448,66.5826282816968,66.10559835615564,65.75853482237298
1992-09-14,54.75,57.4,54.65,56.76,66.54359316315735,66.51465161538748,65.99565014020087,65.63441710068507
1992-09-21,56.5,56.9,53.76,54.12,66.47029762827147,66.42887547964085,65.85593660913968,65.47559755446872
1992-09-28,53.76,53.87,51.5,52.11,66.38557610834066,66.32978291576791,65.69421970785568,65.29124448475191
1992-10-05,51.61,54.22,51.52,51.95,66.30041046758349,66.23026884714668,65.53252300541033,65.10722731944499
1992-10-12,52.05,53.65,51.61,52.73,66.22034904889568,66.13684138107645,65.38190508769962,64.93650694262506
1992-10-19,52.4,54.48,52.29,52.64,66.14022899550987,66.04343763449461,65.23200032196198,64.76689995031299
1992-10-26,51.8,52.38,50.68,51.7,66.05503590409093,65.94417509031126,65.07280031817419,64.58666684755005
1992-11-02,51.9,55.78,51.85,55.68,65.99382625273935,65.8731427367451,64.96229678501919,64.46381627034246
1992-11-09,55.68,56.9,54.37,56.75,65.9392904046406,65.81000680085066,64.86568152872485,64.35741880454464
1992-11-16,57.35,58.73,56.2,57.65,65.89038603647163,65.75353616555066,64.78079115779867,64.26490268310265
1992-11-23,58.3,58.45,56.53,56.7,65.83616546988478,65.69088193603127,64.68572302653045,64.16055919781847
1992-11-30,56.8,59.5,56.8,58.87,65.79506714852852,65.64367860083382,64.61730275563009,64.08758596750373
1992-12-07,58.45,59.8,57.95,59.05,65.75527324204752,65.59804760705643,64.55180507615209,64.01810202312437
1992-12-14,58.6,59.32,56.8,57.75,65.70804449135697,65.54373585891071,64.47178383996207,63.93164544349507
1992-12-21,57.76,58.45,57.5,58.06,65.66292328491829,65.49194529933347,64.3963510889037,63.850657230481346
1992-12-28,58.6,59.28,58.2,58.86,65.62278804429931,65.44604948411316,64.3312175466813,63.78182057902643
1993-01-04,58.9,61.3,58.1,60.79,65.59427602043914,65.41382768837535,64.28955616377917,63.740554088281236
1993-01-11,60.74,62.08,60.3,61.39,65.56947203211796,65.38598112997829,64.25544373832294,63.70813265258081
1993-01-18,61.4,63.2,60.45,62.9,65.55372293458333,65.36877710831754,64.23949734140149,63.696985995303834
1993-01-25,62.55,62.6,57.8,59.34,65.5170638022259,65.32705546742953,64.18185619620853,63.63688963674792
1993-02-01,58.6,61.95,58.55,61.41,65.49283333731601,65.2999478171359,64.14924612331195,63.60617391762036
1993-02-08,60.61,63.2,59.5,62.4,65.47458653296607,65.27987897411074,64.12866675715534,63.58953703599801
1993-02-15,62.79,64.3,62.01,63.7,65.46411699589842,65.26894555560479,64.12362361883586,63.591060663087696
1993-02-22,63.66,64,62.31,63.32,65.45146733810552,65.25545804310926,64.11416922332015,63.58732189532097
1993-03-01,63.52,63.89,61.95,62.62,65.43476251605179,65.2372195791431,64.09659076186932,63.573979524351024
1993-03-08,62.08,64.95,62.04,64.75,65.43072261920193,65.23384781734973,64.10427792937674,63.59020049642894
1993-03-15,64.6,64.85,61.32,62.1,65.41107233826268,65.21216028920198,64.08069818903112,63.56964600682303
1993-03-22,62.45,63.15,60.65,61.05,65.38534329791895,65.18335641176805,64.04504291621899,63.53489226879788
1993-03-29,61.4,61.85,60,60.42,65.35604923716427,65.15039200753435,64.00239535249877,63.49192823750412
1993-04-05,60.62,62.75,60.62,61.52,65.33341767824295,65.125268187413,63.9731907012929,63.464729227331645
1993-04-12,61.7,63.95,60.9,63.58,65.32307303117368,65.11457428992225,63.96856492833651,63.46631916902362
1993-04-19,63.4,63.68,61.51,61.88,65.30275991594551,65.09218969276016,63.943993576238434,63.4444389046233
1993-04-26,61.75,62.88,59.9,61.3,65.27914481319658,65.06594616547461,63.91288776945916,63.41486043697332
1993-05-03,61.5,62.65,59.8,62.24,65.26121475530161,65.04638944460628,63.89320673687729,63.39865546542886
1993-05-10,61.96,62.9,61,62.15,65.24285950600779,65.02634522699654,63.87269842232579,63.381432631422946
1993-05-17,62.05,62.35,60.56,60.96,65.21759189830273,64.99820442957788,63.838431382063135,63.3480335606447
1993-05-24,61.1,61.94,60.01,60.36,65.18893353902071,64.96610612902717,63.79750865992121,63.30681930463581
1993-05-31,60.2,61.3,60.02,60.33,65.16026726445422,64.93402234958754,63.75671444039273,63.26575972802014
1993-06-07,60.75,60.8,58.02,58.47,65.1207966611241,64.88928863090527,63.69451779991752,63.19961131797849
1993-06-14,58.7,59.5,57.11,57.32,65.07477426194343,64.83690601062219,63.61952347285967,63.118513230833955
1993-06-21,57.45,57.6,56.5,56.68,65.02524757013255,64.7804568340781,63.53788202023779,63.02970615178797
1993-06-28,56.85,57.85,56.1,56.5,64.97495112429105,64.7231526345343,63.45508340823499,62.93964123934951
1993-07-05,56.95,59.98,56.87,59.98,64.94548238609464,64.69032804882818,63.414200074020464,62.89881860156538
1993-07-12,59.75,61.23,59.22,60.04,64.91654148706164,64.65814584779822,63.3745036025614,62.85938662085413
1993-07-19,60.85,63.1,60.85,62.49,64.90222560808192,64.6431413782633,63.36409767782538,62.85429163298028
1993-07-26,61.95,62.35,60.25,60.81,64.87808268414044,64.61661444830992,63.33404946985096,62.826094507008136
1993-08-02,60.35,60.55,56.6,57.18,64.83266626712486,64.56514998846002,63.261648887852715,62.74821734139423
1993-08-09,57.25,57.85,55.05,55.98,64.7804381475548,64.50573718577172,63.17598243034857,62.65486261944397
1993-08-16,55.71,56.65,55.6,56.08,64.72910812898516,64.44742758587019,63.09250028410917,62.56417485917577
1993-08-23,56.1,58.54,55.98,57.65,64.68734347925664,64.40038656451469,63.02847086900201,62.496393136980245
1993-08-30,57.6,57.75,55.62,56.76,64.64057449117843,64.3475119170094,62.9547241528961,62.417270473021894
1993-09-06,56.8,59.34,56.58,59.34,64.60930266527177,64.3128578553,62.91219798639144,62.374825363049176
1993-09-13,59.45,60,57.8,59.15,64.57709438996044,64.27712873519411,62.867936833610365,62.330345013214014
1993-09-20,58.6,59.7,58.1,59.66,64.54808498352999,64.24517628719968,62.83019640027377,62.293512668204166
1993-09-27,59.9,60,57.55,57.6,64.50709333170975,64.1991889080495,62.768664677917606,62.22877456243583
